Date-Time (EDT),"Net Top, Temperature (°F)","Cage, Temperature (°F)","Cage, Light (lum)","Net Bottom, Temperature (°F)","Net Bottom, Light (lum)","Wild, Temperature (°F)"
6/20/23 7:00,52.05,51.84,93,51.69,10,
6/20/23 8:00,52.07,51.84,73,51.76,8,
6/20/23 9:00,52.07,51.84,122,51.76,15,
6/20/23 10:00,52.23,51.92,106,51.84,16,
6/20/23 11:00,52.21,51.92,163,51.76,26,
6/20/23 12:00,52.46,52.07,228,51.76,38,
6/20/23 13:00,52.65,51.3,184,51.84,32,
6/20/23 14:00,52.83,50.84,337,52.3,53,
6/20/23 15:00,53.31,51.07,367,52.23,74,
6/20/23 16:00,52.71,51.84,106,52.23,16,
6/20/23 17:00,52.61,52.23,161,52.15,22,
6/20/23 18:00,52.36,52.15,60,51.92,8,
6/20/23 19:00,52.42,52.15,46,52,7,
6/20/23 20:00,52.28,52.15,11,52.07,2,
6/20/23 21:00,52.19,52.23,0,52.07,0,
6/20/23 22:00,52.17,52.07,0,52,0,
6/20/23 23:00,52.09,51.84,0,51.92,0,
6/21/23 0:00,52.05,51.92,0,51.84,0,
6/21/23 1:00,52,51.15,0,51.76,0,
6/21/23 2:00,51.9,50.91,0,51.69,0,
6/21/23 3:00,51.69,51.22,0,51.61,0,
6/21/23 4:00,51.72,51.76,0,51.53,0,
6/21/23 5:00,51.94,51.84,4,51.61,1,
6/21/23 6:00,52,52,40,51.84,6,
6/21/23 7:00,52.09,51.92,122,51.84,17,
6/21/23 8:00,52.15,52.07,237,51.76,26,
6/21/23 9:00,52.56,52.23,355,51.92,32,
6/21/23 10:00,52.57,52.23,477,52.3,37,
6/21/23 11:00,53.19,52.38,507,52.77,42,
6/21/23 12:00,54.06,52.54,518,52.92,44,
6/21/23 13:00,53.75,51.69,433,52.3,49,
6/21/23 14:00,53.1,50.76,443,51.61,51,
6/21/23 15:00,54.68,51.53,373,52.84,53,
6/21/23 16:00,54.33,51.84,317,53.15,51,
6/21/23 17:00,53.91,52.61,232,52.84,42,
6/21/23 18:00,53.93,52.77,140,53.23,32,
6/21/23 19:00,53.54,52.54,58,52.77,13,
6/21/23 20:00,53.23,52.38,11,52.77,2,
6/21/23 21:00,52.98,52.46,0,52.77,0,
6/21/23 22:00,52.92,52.46,0,52.69,0,
6/21/23 23:00,52.71,52.46,0,52.54,0,
6/22/23 0:00,52.52,52.54,0,52.3,0,
6/22/23 1:00,52.48,51.07,0,52.3,0,
6/22/23 2:00,52.4,50.91,0,52,0,
6/22/23 3:00,52.67,51.3,0,52.46,0,
6/22/23 4:00,52.44,51.84,0,52.15,0,
6/22/23 5:00,52.3,52.23,4,52.07,1,
6/22/23 6:00,52.36,52.3,42,52.07,6,
6/22/23 7:00,52.5,52.3,106,52.07,14,
6/22/23 8:00,52.56,52.38,220,52.23,25,
6/22/23 9:00,52.71,52.46,404,52.46,32,
6/22/23 10:00,53.42,52.54,539,52.92,33,
6/22/23 11:00,53.69,52.77,650,52.84,45,
6/22/23 12:00,54.08,52.69,588,53.39,49,
6/22/23 13:00,54.12,51.76,489,52.92,53,
6/22/23 14:00,53.64,51.38,434,53.08,67,
6/22/23 15:00,54,51.61,368,52.92,54,
6/22/23 16:00,54.97,51.84,268,53.08,49,
6/22/23 17:00,54,51.53,202,53.15,57,
6/22/23 18:00,53.75,52.61,126,53,38,
6/22/23 19:00,53.64,52.84,56,53.08,14,
6/22/23 20:00,53.48,52.69,11,53.23,2,
6/22/23 21:00,53.31,52.61,0,53,0,
6/22/23 22:00,53.19,52.84,0,53,0,
6/22/23 23:00,53.31,52.84,0,53.08,0,
6/23/23 0:00,53.29,52.77,0,53.08,0,
6/23/23 1:00,53.1,52.84,0,52.92,0,
6/23/23 2:00,52.98,51.38,0,52.69,0,
6/23/23 3:00,52.83,51.53,0,52.61,0,
6/23/23 4:00,53.04,51.53,0,52.84,0,
6/23/23 5:00,52.77,51.92,3,52.46,1,
6/23/23 6:00,52.86,52.92,37,52.69,7,
6/23/23 7:00,52.83,52.84,96,52.54,19,
6/23/23 8:00,52.94,52.92,209,52.69,26,
6/23/23 9:00,53.44,52.84,352,53,34,
6/23/23 10:00,54.33,53.08,494,53.08,38,
6/23/23 11:00,54.12,53.15,585,53.54,45,
6/23/23 12:00,54.79,53,484,53.54,46,
6/23/23 13:00,54.64,52.84,447,53.46,56,
6/23/23 14:00,54.33,51.61,337,53.39,59,
6/23/23 15:00,54.68,51.61,275,53.08,60,
6/23/23 16:00,53.96,52,166,52.69,47,
6/23/23 17:00,54.12,51.69,114,53,41,
6/23/23 18:00,53.66,51.92,81,53.15,23,
6/23/23 19:00,53.85,53,37,53.39,7,
6/23/23 20:00,53.75,52.77,5,53.46,1,
6/23/23 21:00,53.52,52.77,0,53.31,0,
6/23/23 22:00,53.91,53.31,0,53.54,0,
6/23/23 23:00,53.71,53.08,0,53.39,0,
6/24/23 0:00,53.69,53.31,0,53.39,0,
6/24/23 1:00,53.62,53.39,0,53.31,0,
6/24/23 2:00,53.69,52.61,0,53.31,0,
6/24/23 3:00,53.66,51.84,0,53.39,0,
6/24/23 4:00,53.6,51.61,0,52.92,0,
6/24/23 5:00,53.56,52.07,2,53.39,0,
6/24/23 6:00,53.67,52.77,8,53.23,3,
6/24/23 7:00,53.46,53.08,17,53.23,6,
6/24/23 8:00,53.56,53.08,29,53.23,12,
6/24/23 9:00,53.83,53.08,185,53.23,16,
6/24/23 10:00,54.06,53.08,228,53.15,20,
6/24/23 11:00,54.56,53.31,661,53.62,52,
6/24/23 12:00,54.7,53.39,237,53.93,28,
6/24/23 13:00,54.85,53.08,166,53.93,24,
6/24/23 14:00,54.68,52.77,121,53.62,20,
6/24/23 15:00,53.81,51.61,78,53.23,15,
6/24/23 16:00,53.75,52,84,53.31,14,
6/24/23 17:00,53.58,52.23,40,52.92,7,
6/24/23 18:00,53.4,51.92,77,52.3,12,
6/24/23 19:00,53.39,52,16,53.08,2,
6/24/23 20:00,53.64,52.77,2,53.31,0,
6/24/23 21:00,53.52,53.08,0,53.23,0,
6/24/23 22:00,53.69,53,0,53.31,0,
6/24/23 23:00,53.69,53,0,53.39,0,
6/25/23 0:00,53.81,53.08,0,53.39,0,
6/25/23 1:00,53.85,52.92,0,53.46,0,
6/25/23 2:00,53.6,53.15,0,53.39,0,
6/25/23 3:00,53.83,52.84,0,53.39,0,
6/25/23 4:00,53.89,52.77,0,53.31,0,
6/25/23 5:00,53.96,52.77,2,53.23,0,
6/25/23 6:00,54.33,52.92,26,54.08,4,
6/25/23 7:00,54.29,52.23,70,53.54,8,
6/25/23 8:00,54.22,52.54,137,53.54,16,
6/25/23 9:00,54.04,52.92,160,53,17,
6/25/23 10:00,53.79,52.92,298,53.39,28,
6/25/23 11:00,54.27,53.31,523,53.54,47,
6/25/23 12:00,54.41,53.54,716,53.85,59,
6/25/23 13:00,54.93,53.46,288,53.69,33,
6/25/23 14:00,55.22,53.39,381,53.93,60,
6/25/23 15:00,54.89,53.08,217,53.54,41,
6/25/23 16:00,54.54,52.3,133,53.31,27,
6/25/23 17:00,54.29,52.61,74,53.62,17,
6/25/23 18:00,54.37,52.77,68,53.39,21,
6/25/23 19:00,53.81,52.61,43,52.92,11,
6/25/23 20:00,53.93,52.92,6,53.69,1,
6/25/23 21:00,54.18,53.23,0,53.93,0,
6/25/23 22:00,54.12,53.31,0,53.62,0,
6/25/23 23:00,54.06,53.39,0,53.54,0,
6/26/23 0:00,54.2,53.23,0,53.77,0,
6/26/23 1:00,54.14,53.31,0,53.77,0,
6/26/23 2:00,54.12,53.54,0,53.93,0,
6/26/23 3:00,54.18,53.54,0,53.93,0,
6/26/23 4:00,54.35,53.31,0,54.08,0,
6/26/23 5:00,54.22,53.39,1,53.69,0,
6/26/23 6:00,54.04,53.39,10,53.31,2,
6/26/23 7:00,54.18,53.46,28,53.93,4,
6/26/23 8:00,54.43,53.69,85,53.93,12,
6/26/23 9:00,54.23,53.77,102,53.85,14,
6/26/23 10:00,54.49,53.77,215,54,28,
6/26/23 11:00,54.72,53.62,161,54.39,22,
6/26/23 12:00,54.87,53.69,224,54.47,31,
6/26/23 13:00,54.93,53.54,61,54.62,23,
6/26/23 14:00,55.03,53.62,183,54.62,28,
6/26/23 15:00,54.97,53.54,118,54.62,21,
6/26/23 16:00,54.85,53.31,63,54.16,13,
6/26/23 17:00,54.78,53.08,43,54.31,9,
6/26/23 18:00,54.49,53,62,54.23,12,
6/26/23 19:00,54.5,53.08,9,54.23,2,
6/26/23 20:00,54.39,53.39,3,54.08,0,
6/26/23 21:00,54.25,53.93,0,53.93,0,
6/26/23 22:00,54.27,53.85,0,54,0,
6/26/23 23:00,54.25,53.69,0,53.93,0,
6/27/23 0:00,54.16,53.77,0,54,0,
6/27/23 1:00,54.12,53.77,0,53.93,0,
6/27/23 2:00,54.18,53.69,0,53.93,0,
6/27/23 3:00,54.25,53.77,0,53.85,0,
6/27/23 4:00,54.33,53.62,0,53.85,0,
6/27/23 5:00,54.22,53.77,0,54,0,
6/27/23 6:00,54.2,53.85,12,53.93,2,
6/27/23 7:00,54.2,53.93,29,53.93,5,
6/27/23 8:00,54.33,54,66,54,9,
6/27/23 9:00,54.39,53.39,55,53.93,7,
6/27/23 10:00,54.58,53.85,155,53.93,20,
6/27/23 11:00,54.58,54,296,53.85,30,
6/27/23 12:00,54.29,54,266,53.77,23,
6/27/23 13:00,54.27,54.08,392,53.69,33,
6/27/23 14:00,54.27,54.08,95,53.93,10,
6/27/23 15:00,54.43,54.16,262,54,37,
6/27/23 16:00,54.33,53.93,102,53.85,13,
6/27/23 17:00,54.31,54,113,53.93,18,
6/27/23 18:00,54.18,53.93,25,53.85,4,
6/27/23 19:00,54.06,53.93,4,53.77,1,
6/27/23 20:00,53.98,53.93,2,53.85,0,
6/27/23 21:00,54.22,53.69,0,53.93,0,
6/27/23 22:00,54.12,53.85,0,53.93,0,
6/27/23 23:00,54.12,54.08,0,53.85,0,
6/28/23 0:00,54.16,54.08,0,53.93,0,
6/28/23 1:00,54.12,54.08,0,53.93,0,
6/28/23 2:00,54.14,54.16,0,53.85,0,
6/28/23 3:00,54.16,54.08,0,53.93,0,
6/28/23 4:00,54.2,54.08,0,53.93,0,
6/28/23 5:00,54.12,54.08,2,53.85,0,
6/28/23 6:00,54.02,54.16,9,53.85,3,
6/28/23 7:00,53.96,53.85,35,53.69,5,
6/28/23 8:00,53.91,53.93,76,53.69,15,
6/28/23 9:00,54.16,54,97,53.77,14,
6/28/23 10:00,54.27,53.77,103,53.93,16,
6/28/23 11:00,54.89,54.08,145,54.54,17,
6/28/23 12:00,54.87,54.23,144,54.62,17,
6/28/23 13:00,55.1,54.62,195,54.7,19,
6/28/23 14:00,54.74,54.47,56,54.31,7,
6/28/23 15:00,55.78,54.47,143,55.08,29,
