,Collection Date,Gear Type,Sex,Tissue Type (Gonad or Muscle),Mass (mg),% N,N (umoles),d15N,%C,C (umoles),d13C,C/N (Molar)
0,0.23378127373937282,-0.02054273023830122,0.08529555800157824,-0.23559184849213924,-0.1708339305226839,0.5476560153255703,0.41693594253880506,0.0529639710074028,0.397868364905564,0.300186912768984,0.04931710995102193,-0.3543300155538351
1,-0.023715998436787962,-0.06932918972448925,-0.08744432504440465,0.5181695186515086,-0.04752503230891947,-0.11738480398440512,0.26027087222465706,0.43320327915971285,0.10647873430609785,0.42146646219127776,0.35683198651847436,0.3615802258259855
2,-0.3048078013475565,0.11197340822488411,0.10111831428364522,-0.2362127658257386,0.333967160770152,-0.2479710080462226,0.46274457688894016,0.029649021251767792,-0.41331745070900316,0.4232240894897444,-0.25335184365046703,-0.16235880325319316
3,0.2773807818711967,-0.0003059912419852706,0.5448222700546265,0.1971468948127181,0.23602976250470512,-0.023252839667997547,0.007228032172308327,-0.02050587813373469,-0.3092728161369356,-0.14541947729556637,0.5350192688386431,-0.3572058343609667
4,-0.1389539367813405,0.6684631933041505,0.34725563929288156,0.17424792363720568,-0.4052004159352017,-0.03342042202977815,0.06591666454712253,-0.4067828149671253,0.06329131727513845,0.12066721281262065,-0.0010853208927713567,0.17091176912625236
5,0.5233717109830712,0.5399068822319432,-0.44002119819535507,0.01165753295080964,0.4734449141984636,0.004483454426851407,0.014801605287512263,-0.08450449172585164,0.03437875879058982,0.04655755053042806,0.0379863088789698,0.06712159645685181
6,-0.507216066264936,0.25517733725925235,-0.4748096597585913,-0.08768893695801237,-0.12930121698469255,0.09880838691491187,-0.005568876376296702,0.0649718322445758,-0.10469116252011577,-0.13602909685432601,0.5125473040880021,-0.34868277699170847
7,0.0727799555258078,0.4070930486771198,0.1949771213394908,-0.12394275045722797,-0.15992072301786336,-0.000577370205772071,-0.14093764036366974,0.7914564961378218,-0.0685024893674657,-0.18846165775651133,-0.2365721370208177,-0.08707414248946614
8,-0.45483733134529436,0.11324030082548536,0.29111153985940696,-0.0038363249840714215,0.6044359438631789,0.25647056678042707,-0.13395068713095135,0.0615957339330043,0.4533605318906593,-0.07989004482072878,0.043334945874106495,0.16995910891549773
9,-0.10693830348892122,0.01144957982798181,-0.12312612619053367,0.7259747936617574,0.07270757463304009,0.18186593975715185,0.055741255431948175,-0.03452488251305198,-0.013688540228679146,-0.10359976690467634,-0.4441295990597818,-0.4420425401089992
10,-0.028169994679727365,-0.008755930812141967,-0.01836207444056112,0.02687502001252939,0.007274499732417796,0.6954149432521771,0.09627405407314524,0.0006411760713206214,-0.5626939472951407,-0.1043835942077134,-0.023562510761920435,0.42079779156025743
11,0.006198548740375236,-0.004414856389600876,-0.010647829639623078,-0.002772155620378685,4.174397418030803e-06,-0.17580844594897463,0.699615331689025,0.002403373615905963,0.14385376844548295,-0.65819998879541,0.002553158660719199,0.1597415948488735
