Response,Predictor,Estimate,SE,z-value,p-value,95% CI Lower,95% CI Upper
d13C,C(Gear)[T.N],-0.098,0.072,-1.352,0.176,-0.239,0.044
d13C,Temperature,-0.036,0.017,-2.09,0.037,-0.071,-0.002
d13C,Light,0.0,0.001,0.694,0.488,-0.001,0.002
d15N,C(Gear)[T.N],0.014,0.167,0.086,0.931,-0.313,0.342
d15N,Temperature,-0.137,0.051,-2.7,0.007,-0.236,-0.038
d15N,Light,-0.002,0.001,-1.602,0.109,-0.005,0.001
C/N,C(Gear)[T.N],0.308,0.097,3.163,0.002,0.117,0.499
C/N,Temperature,0.043,0.024,1.814,0.07,-0.003,0.089
C/N,Light,0.002,0.001,2.736,0.006,0.001,0.004
