Response,Predictor,Estimate,SE,z-value,p-value,95% CI Lower,95% CI Upper
d13C,C(Gear)[T.N],-0.09758857806352897,0.07217286576556611,-1.3521505212293894,0.1763271682738896,-0.23904479562508238,0.04386763949802444
d13C,Temperature,-0.036402919684385575,0.017418928017599894,-2.0898484480563018,0.036631415701636846,-0.07054339124817705,-0.0022624481205941044
d13C,Light,0.0004429586502476433,0.0006380862297621752,0.694198729868753,0.4875575890408099,-0.0008076673791171699,0.0016935846796124565
d15N,C(Gear)[T.N],0.014423888838073273,0.1672609166396653,0.08623585908683644,0.9312789254418823,-0.313401483796827,0.3422492614729735
d15N,Temperature,-0.13697240661700738,0.05073522162501383,-2.699749843006033,0.006939163106620492,-0.23641161374969222,-0.03753319948432256
d15N,Light,-0.0023843301512569805,0.0014883998409671606,-1.6019419551319258,0.10916844569394822,-0.005301540234147759,0.0005328799316337983
C/N,C(Gear)[T.N],0.3083358275718891,0.09747720909424556,3.163158141651096,0.001560675282472836,0.11728400843368758,0.4993876467100906
C/N,Temperature,0.042905723038882314,0.023654763214038744,1.8138301639569328,0.06970387704716147,-0.0034567609234565574,0.08926820700122118
C/N,Light,0.002332221256531518,0.0008524418771423179,2.7359299432237374,0.006220426739983803,0.0006614658784188574,0.0040029766346441785
